FILENAME,URL,URLLength,Domain,DomainLength,IsDomainIP,TLD,URLSimilarityIndex,CharContinuationRate,TLDLegitimateProb,URLCharProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,Title,DomainTitleMatchScore,URLTitleMatchScore,HasFavicon,Robots,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,HasDescription,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSocialNet,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfEmptyRef,NoOfExternalRef,label
412632.txt,https://www.nyprowrestling.com,29,www.nyprowrestling.com,22,0,com,100.0,1.0,0.5229071,0.05631101,3,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,1,766,410,1,nyprowrestling,100.0,100.0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,7,3,14,66,0,48,1
899992.txt,https://www.free-marine.com,26,www.free-marine.com,19,0,com,100.0,0.636363636,0.5229071,0.070573887,3,1,0,0,0.0,12,0.462,0,0.0,0,0,0,2,0.077,1,240,269,1,free-marine,100.0,100.0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,15,3,2,4,1,8,1
mw81421.txt,http://www.ntec.es,18,www.ntec.es,11,0,es,75.69444444,1.0,0.0064109,0.070026114,2,1,0,0,0.0,6,0.333,0,0.0,0,0,0,1,0.056,0,9,50,1,ntec,100.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8056966.txt,https://5a4f2f89-da45-4791-8c6a-981093dbf158.id.repl.co/,56,5a4f2f89-da45-4791-8c6a-981093dbf158.id.repl.co,47,0,co,30.69554352,0.25,0.0059772,0.023926613,2,2,0,0,0.0,18,0.321,22,0.393,0,0,0,8,0.143,1,198,869,1,5a4f2f89-da45-4791-8c6a-981093dbf158idrepl,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
7976781.txt,http://www.reach.africa/wp-admin/network/agri3/,46,www.reach.africa,16,0,africa,35.53741497,1.0,5.14e-05,0.055523176,6,1,0,0,0.0,29,0.63,1,0.022,0,0,0,5,0.109,0,2,55,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8041234.txt,https://igghqd.cn/,17,igghqd.cn,9,0,cn,61.81818182,1.0,0.0033218,0.038207906,2,0,0,0,0.0,8,0.471,0,0.0,0,0,0,1,0.059,1,2,26,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
415752.txt,https://www.ridemcts.com,23,www.ridemcts.com,16,0,com,100.0,1.0,0.5229071,0.066549716,3,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,1,1187,16625,1,ridemcts,100.0,100.0,0,0,1,0,0,0,0,2,0,1,1,1,0,0,1,0,1,15,3,22,93,4,8,1
8014279.txt,https://novoitaufatura.com/consulte-sua-fatura.php?cartoes=home&id=ndcxnta5zjjknjyxmtyyyzm4yjaymjcynzqxzmjiymq=&the=theking,122,novoitaufatura.com,18,0,com,10.56410925,1.0,0.5229071,0.046616423,3,0,0,0,0.0,100,0.82,2,0.016,4,1,0,7,0.098,1,221,223,1,novoitaufaturaconsulte-sua-faturaphp?cartoes=home&id=ndcxnta5zjjknjyxmtyyyzm4yjaymjcynzqxzmjiymq=&the=thekin,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,2,0,1,0,0
568276.txt,https://www.epner.com,20,www.epner.com,13,0,com,100.0,1.0,0.5229071,0.071276,3,1,0,0,0.0,7,0.35,0,0.0,0,0,0,1,0.05,1,1266,9381,1,epner,100.0,100.0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,40,26,19,176,0,144,1
52998.txt,https://www.az511.com,20,www.az511.com,13,0,com,100.0,1.0,0.5229071,0.038131353,3,1,0,0,0.0,4,0.2,3,0.15,0,0,0,1,0.05,1,2296,1080,1,az511,100.0,100.0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,18,33,9,109,7,21,1
8105123.txt,https://maildinshaakckjnw291.web.app/,37,maildinshaakckjnw291.web.app,28,0,app,36.68191414,0.875,0.001502,0.0415986,3,1,0,0,0.0,23,0.622,3,0.081,0,0,0,3,0.081,1,108,8125,1,maildinshaakckjnw291web,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
387573.txt,https://www.screenbeam.com,25,www.screenbeam.com,18,0,com,100.0,1.0,0.5229071,0.071499753,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,2433,29001,1,screenbeam,100.0,100.0,1,1,1,1,0,1,2,5,0,1,1,1,0,0,0,0,1,37,27,48,148,11,133,1
651121.txt,https://www.hellscent.com,24,www.hellscent.com,17,0,com,100.0,1.0,0.5229071,0.064086643,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,1150,2674,1,hellscent,100.0,100.0,1,0,1,0,0,1,0,19,0,1,1,1,1,1,1,0,1,11,4,23,45,0,10,1
8105152.txt,https://maildinshaakckjnw272.firebaseapp.com/,45,maildinshaakckjnw272.firebaseapp.com,36,0,com,49.38560977,0.65625,0.5229071,0.049243158,3,1,0,0,0.0,31,0.689,3,0.067,0,0,0,3,0.067,1,108,8125,1,maildinshaakckjnw272firebaseapp,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
693302.txt,https://www.marcosimoncellifondazione.it,39,www.marcosimoncellifondazione.it,32,0,it,100.0,1.0,0.012178,0.065379406,2,1,0,0,0.0,26,0.667,0,0.0,0,0,0,1,0.026,1,1182,552,1,marcosmoncellfondazone,0.0,0.0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,45,4,14,83,5,37,1
mw153983.txt,http://www.formuria.com,23,www.formuria.com,16,0,com,83.54700855,1.0,0.5229071,0.065150449,3,1,0,0,0.0,11,0.478,0,0.0,0,0,0,1,0.043,0,2,32,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
792397.txt,https://www.marxist.se,21,www.marxist.se,14,0,se,100.0,1.0,0.0040185,0.05482263,2,1,0,0,0.0,8,0.381,0,0.0,0,0,0,1,0.048,1,614,2255,1,marxit,0.0,0.0,1,0,0,0,0,0,0,4,0,1,1,1,0,1,0,0,0,22,1,4,86,0,25,1
mw42428.txt,http://www.static-02.flu.cc,26,www.static-02.flu.cc,20,0,cc,64.33823529,0.692307692,0.0010349,0.045783262,2,2,0,0,0.0,10,0.385,2,0.077,0,0,0,3,0.115,0,20,490,0,0,7.692307692,7.692307692,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
775628.txt,https://www.uncrazed.com,23,www.uncrazed.com,16,0,com,100.0,1.0,0.5229071,0.060569944,3,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,1,1658,16845,1,uncrazed,100.0,100.0,0,1,1,0,0,1,0,2,0,1,1,1,0,0,0,0,1,31,34,39,67,0,89,1
8122972.txt,https://mynembercard.point.soumu.jo.mvcc.top/,45,mynembercard.point.soumu.jo.mvcc.top,36,0,top,73.0980981,0.40625,0.0002752,0.058084894,3,4,0,0,0.0,31,0.689,0,0.0,0,0,0,6,0.133,1,13,73,1,mynembercardpointsoumujomvcc,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
mw56624.txt,http://www.cargoconnect.online,29,www.cargoconnect.online,23,0,online,81.14285714,1.0,0.0008457,0.069326178,6,1,0,0,0.0,17,0.586,0,0.0,0,0,0,1,0.034,0,9,77,1,cargoconnect,100.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
386123.txt,https://www.scientistsforeu.uk,29,www.scientistsforeu.uk,22,0,uk,100.0,1.0,0.028555,0.059747999,2,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,1,1614,1447,1,scientistsfore,93.33333333,93.33333333,1,0,1,1,0,0,0,5,0,1,1,1,0,0,1,0,1,32,4,16,53,1,25,1
8012994.txt,https://jkkj-30814.web.app/,26,jkkj-30814.web.app,18,0,app,46.20498615,0.714285714,0.001502,0.020315382,3,1,0,0,0.0,10,0.385,5,0.192,0,0,0,3,0.115,1,108,8125,1,jkkj-30814web,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
7460621.txt,https://widget-dot-lbk-asistente-pre-principal.appspot.com/,58,widget-dot-lbk-asistente-pre-principal.appspot.com,50,0,com,31.49803922,0.217391304,0.5229071,0.05640856,3,1,0,0,0.0,43,0.741,0,0.0,0,0,0,7,0.121,1,49,164,1,widget-dot-lbk-asistente-pre-principalappspot,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
mw137140.txt,http://www.singaposts.org,25,www.singaposts.org,18,0,org,79.18367347,1.0,0.0799628,0.059431451,3,1,0,0,0.0,13,0.52,0,0.0,0,0,0,1,0.04,0,2,34,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8091642.txt,http://tungsten-sedate-gargoyleosaurus.glitch.me/ccnavy.htm,59,tungsten-sedate-gargoyleosaurus.glitch.me,41,0,me,21.58507313,0.421052632,0.0036375,0.056275118,2,1,0,0,0.0,46,0.78,0,0.0,0,0,0,6,0.102,0,7,2858026,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
542037.txt,https://www.goldreserveinc.com,29,www.goldreserveinc.com,22,0,com,100.0,1.0,0.5229071,0.064494766,3,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,1,723,12963,1,goldreserveinc,100.0,100.0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,67,48,118,1,130,1
475173.txt,https://www.clare.fm,19,www.clare.fm,12,0,fm,100.0,1.0,0.0004846,0.060603383,2,1,0,0,0.0,6,0.316,0,0.0,0,0,0,1,0.053,1,2917,6449,1,clare,100.0,100.0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,63,40,58,188,15,216,1
23830.txt,https://www.topografix.com,25,www.topografix.com,18,0,com,100.0,1.0,0.5229071,0.05946437,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,174,415,1,topografix,100.0,100.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,2,4,5,0,36,1
732052.txt,https://www.asianamerican.net,28,www.asianamerican.net,21,0,net,100.0,1.0,0.0384199,0.070446606,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,1,463,1818,1,asianamerican,100.0,100.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,3,1,16,1,0,43,1
8006835.txt,http://correctionswallett.netlify.app,36,correctionswallett.netlify.app,30,0,app,61.86286167,0.730769231,0.001502,0.05987506,3,1,0,0,0.0,27,0.75,0,0.0,0,0,0,2,0.056,0,2,50,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
639096.txt,https://www.saveware.nl,22,www.saveware.nl,15,0,nl,100.0,1.0,0.0082003,0.059913557,2,1,0,0,0.0,9,0.409,0,0.0,0,0,0,1,0.045,1,4286,889,1,saveware,100.0,100.0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,54,23,30,584,1,590,1
389653.txt,https://www.cse.uconn.edu,24,www.cse.uconn.edu,17,0,edu,100.0,0.666666667,0.0115013,0.065989543,3,2,0,0,0.0,10,0.417,0,0.0,0,0,0,2,0.083,1,1333,16253,1,cseuconn,0.0,0.0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,12,27,24,117,2,147,1
503179.txt,https://www.tourbytransit.com,28,www.tourbytransit.com,21,0,com,100.0,1.0,0.5229071,0.059545914,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,1,597,1624,1,tourbytransit,100.0,100.0,1,1,1,0,0,1,4,0,0,1,1,1,0,0,0,0,1,27,6,7,60,0,16,1
483656.txt,https://www.innovativestate.com,30,www.innovativestate.com,23,0,com,100.0,1.0,0.5229071,0.064944043,3,1,0,0,0.0,17,0.567,0,0.0,0,0,0,1,0.033,1,665,1447,1,innovativestate,100.0,100.0,0,0,0,1,0,0,0,3,0,1,1,1,0,0,1,0,0,20,1,10,24,0,39,1
8131727.txt,https://ipfs.io/ipfs/bafybeif5p6emtkpr346qxhdotlpesauwb3hhlzc3wrsvu5ec6i2behpe74/,81,ipfs.io,7,0,io,9.962688145,1.0,0.0129268,0.036880224,2,0,0,0,0.0,57,0.704,12,0.148,0,0,0,4,0.049,1,9,89,1,ipfsipfsbafybeif5p6emtkpr346qxhdotlpesauwb3hhlzc3wrsvu5ec6i2behpe74,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
711579.txt,https://www.scientology.org.uk,29,www.scientology.org.uk,22,0,uk,100.0,0.8,0.028555,0.060530518,2,2,0,0,0.0,15,0.517,0,0.0,0,0,0,2,0.069,1,6578,699,1,scientologyorg,0.0,0.0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,149,5,25,339,2,138,1
80851.txt,https://www.iaee.org,19,www.iaee.org,12,0,org,100.0,1.0,0.0799628,0.081394675,3,1,0,0,0.0,6,0.316,0,0.0,0,0,0,1,0.053,1,1238,1864,1,iaee,100.0,100.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,90,8,13,194,34,65,1
46305.txt,https://www.entropiauniverse.com,31,www.entropiauniverse.com,24,0,com,100.0,1.0,0.5229071,0.065114816,3,1,0,0,0.0,18,0.581,0,0.0,0,0,0,1,0.032,1,181,867,1,entropiauniverse,100.0,100.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,11,2,4,24,0,6,1
mw77661.txt,http://www.woningkeuren.com,26,www.woningkeuren.com,20,0,com,62.86764706,1.0,0.5229071,0.06012524,3,1,0,0,0.0,14,0.538,0,0.0,0,0,0,1,0.038,0,9,79,1,woningkeuren,100.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
446885.txt,https://www.chaloke.com,22,www.chaloke.com,15,0,com,100.0,1.0,0.5229071,0.067130066,3,1,0,0,0.0,9,0.409,0,0.0,0,0,0,1,0.045,1,1700,8121,1,chaloke,100.0,100.0,0,1,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,16,30,18,141,0,157,1
107364.txt,https://www.miyakohotels.ne.jp,29,www.miyakohotels.ne.jp,22,0,jp,100.0,0.866666667,0.0230451,0.057370374,2,2,0,0,0.0,15,0.517,0,0.0,0,0,0,2,0.069,1,3770,6318,1,miyakohotelsne,0.0,0.0,1,0,1,0,0,1,0,3,1,1,1,1,0,0,0,0,1,125,14,39,136,0,149,1
8105817.txt,https://snowy-art-fe31.tql35vg01086.workers.dev/,48,snowy-art-fe31.tql35vg01086.workers.dev,39,0,dev,32.55095332,0.371428571,0.0009613,0.035971749,3,2,0,0,0.0,25,0.521,9,0.188,0,0,0,6,0.125,1,92,394,1,snowy-art-fe31tql35vg01086workers,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,3,0
mw199378.txt,http://www.ylgceliks.com,23,www.ylgceliks.com,17,0,com,59.08119658,1.0,0.5229071,0.054547303,3,1,0,0,0.0,11,0.478,0,0.0,0,0,0,1,0.043,0,2,33,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16784.txt,https://www.speaker.gov,22,www.speaker.gov,15,0,gov,100.0,1.0,0.0033282,0.061099943,3,1,0,0,0.0,9,0.409,0,0.0,0,0,0,1,0.045,1,530,8047,1,speaker,100.0,100.0,1,1,1,0,0,1,0,5,0,1,1,0,0,0,0,0,1,13,5,21,33,1,55,1
8070249.txt,https://server-drhgdf-dgdgtd-dh.firebaseapp.com/,48,server-drhgdf-dgdgtd-dh.firebaseapp.com,39,0,com,42.71531887,0.342857143,0.5229071,0.048899476,3,1,0,0,0.0,34,0.708,0,0.0,0,0,0,6,0.125,1,14,78,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8005141.txt,https://storageapi.fleek.one/447fface-68fa-456f-bbfc-0c18dfd9f62a-bucket/sharepoint11/index.html,95,storageapi.fleek.one,20,0,one,19.89754861,0.6875,0.0002052,0.042319266,3,1,0,0,0.0,60,0.632,16,0.168,0,0,0,11,0.116,1,2,104,0,0,0.0,1.234567901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mw164375.txt,http://www.maca.ml,18,www.maca.ml,11,0,ml,83.67346939,1.0,0.0001306,0.067030297,2,1,0,0,0.0,6,0.333,0,0.0,0,0,0,1,0.056,0,26,129,1,maca,100.0,100.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8101592.txt,http://www.xolares.com.ar/wp-includes/50/globalsources/index2.php?email,71,www.xolares.com.ar,18,0,ar,15.39435337,0.727272727,0.0020445,0.053919382,2,2,0,0,0.0,48,0.676,3,0.042,0,1,0,8,0.127,0,87,275,1,xolescomwp-includes50globalsourcesindex2php?email,0.0,0.0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,6,0,0,0,0,0,0
504270.txt,https://www.australiandesignreview.com,37,www.australiandesignreview.com,30,0,com,100.0,1.0,0.5229071,0.05995038,3,1,0,0,0.0,24,0.649,0,0.0,0,0,0,1,0.027,1,1567,4411,1,australiandesignreview,100.0,100.0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0,1,35,19,31,134,3,151,1
8043682.txt,https://ink-positive-adapter.glitch.me/authoonlineeccu.htm,58,ink-positive-adapter.glitch.me,30,0,me,26.08627451,0.333333333,0.0036375,0.058628418,2,1,0,0,0.0,44,0.759,0,0.0,0,0,0,6,0.103,1,82,155,1,ink-positive-adapterglitchauthoonlineeccuhtm,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0
563725.txt,https://www.vibconferences.be,28,www.vibconferences.be,21,0,be,100.0,1.0,0.0033189,0.058938971,2,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,1,995,7572,1,viconferences,0.0,0.0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,27,2,6,41,0,16,1
mw31j26009.txt,http://www.http.node.hiveon.net,30,www.http.node.hiveon.net,24,0,net,49.61904762,0.4375,0.0384199,0.058325464,3,3,0,0,0.0,16,0.533,0,0.0,0,0,0,3,0.1,0,2,42,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8009164.txt,https://att457.weebly.com/,25,att457.weebly.com,17,0,com,63.24490581,0.769230769,0.5229071,0.046681826,3,1,0,0,0.0,12,0.48,3,0.12,0,0,0,2,0.08,1,129,368,1,att457weebly,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0
849213.txt,https://www.myindoairlines.com,29,www.myindoairlines.com,22,0,com,100.0,1.0,0.5229071,0.063728924,3,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,1,539,860,1,myindoairlines,100.0,100.0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,11,5,15,3,0,4,1
574936.txt,https://www.inspireactivewear.com,32,www.inspireactivewear.com,25,0,com,100.0,1.0,0.5229071,0.063618221,3,1,0,0,0.0,19,0.594,0,0.0,0,0,0,1,0.031,1,2123,2683,1,inspireactivewear,100.0,100.0,0,0,1,0,0,1,0,19,0,0,1,1,1,1,1,0,1,30,49,20,118,0,23,1
mw51036.txt,http://www.mysecuritycamera.net,30,www.mysecuritycamera.net,24,0,net,62.14285714,1.0,0.0384199,0.061971609,3,1,0,0,0.0,18,0.6,0,0.0,0,0,0,1,0.033,0,2,39,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mw130480.txt,http://www.iran-edi.com,22,www.iran-edi.com,16,0,com,83.76068376,0.625,0.5229071,0.069182974,3,1,0,0,0.0,9,0.409,0,0.0,0,0,0,2,0.091,0,49,759,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
mw72262.txt,http://www.alphabrainbalancing.com,33,www.alphabrainbalancing.com,27,0,com,57.7189666,1.0,0.5229071,0.058352724,3,1,0,0,0.0,21,0.636,0,0.0,0,0,0,1,0.03,0,5,82,1,alphabrainbalancing,100.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
7954922.txt,https://update-forms-reports.myportfolio.com/,44,update-forms-reports.myportfolio.com,36,0,com,42.02118785,0.375,0.5229071,0.060744953,3,1,0,0,0.0,32,0.727,0,0.0,0,0,0,4,0.091,1,2,53,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
